# RE1.5 Port — BEFUND-LOG (Sep  6 2026 09:39:45)
# Eine Zeile je 15 Bilder, dazu jede F9-MARKE.
# Spalten:
#   F<n>        Bildnummer
#   R<xxxx> C<n> Raum und Kamerawinkel
#   pos=(x,y,z) Weltlage der Figur, rot = Blickrichtung (0..4095)
#   vz=a/b/c    Kamera-Tiefe von FUSS / HUEFTE / KOPF
#   scr=(x,y)   Fusspunkt im 320x240-Bild
#   kasten=...  geschaetzter Bildkasten der Figur (Messgroesse)
#   masken=n    geladene Vordergrund-Masken dieses Winkels
#   [i:(x,y)wxh t=T z=Z DECKT|frei]  jede Maske, die den Kasten beruehrt.
#       Der Zeichner verdeckt, solange die Figur-Tiefe GROESSER als z ist
#       (z = T*64). 'frei' heisst: die Figur steht VOR dieser Maske.
# ---------------------------------------------------------------
F484     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F499     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F514     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F529     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F544     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F559     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F574     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F589     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F604     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F619     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F634     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F649     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F664     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F679     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F694     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F709     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F724     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F739     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
F754     R1170 C2  pos=(-31000, -7200, 31000) rot=1024  vz=-26327/-26521/-26715 scr=(160,120) kasten=x148..172,y123..123 masken=3 | keine Maske am Koerper
